Source Ip,Dest Ip,Flag,Size,ACK Total, SYN/FIN Total,# of Src Ports,# of Dst Ports,MIN packet size,MAX packet size,AVG packet size,packet amount,INC packets,OUT packets
10.184.237.176,52.114.74.43,1,33046,68,1,4,3,1514,54,485.9705882352943,68,31,37
52.108.32.2,10.184.237.176,0,163503,479,2,3,3,1514,54,340.63124999999985,480,195,285
10.184.237.176,23.215.135.49,1,54,1,1,1,1,54,54,54,1,0,1
10.184.237.176,13.107.136.9,1,54,1,1,1,1,54,54,54,1,0,1
10.184.237.176,108.177.97.156,1,698,5,1,3,2,265,54,139.6,5,1,4
10.184.237.176,13.107.136.9,1,18565,33,4,3,2,1514,54,546.0294117647059,34,17,17
13.107.136.9,10.184.237.176,1,156015,165,1,3,2,1514,54,945.5454545454545,165,62,103
10.184.237.176,108.177.97.188,0,781,13,0,2,2,66,55,60.07692307692308,13,6,7
10.184.237.176,52.114.74.43,1,54,1,1,1,1,54,54,54,1,0,1
10.184.237.176,198.252.206.25,0,903,13,0,2,2,112,55,69.46153846153847,13,5,8
10.184.237.176,13.107.136.9,0,536105,639,2,3,3,1514,54,837.6640624999993,640,331,309
10.184.237.176,108.177.97.156,1,265,1,1,1,1,265,265,265,1,0,1
10.184.237.176,13.107.6.171,1,25443,60,7,5,5,1514,54,403.85714285714283,63,33,30
10.184.237.176,108.177.97.156,1,236,4,1,3,2,66,55,59.0,4,2,2
10.184.237.176,52.114.74.43,1,54,1,1,1,1,54,54,54,1,0,1
10.184.237.176,108.177.97.156,1,108,2,1,1,1,54,54,54.0,2,0,2
10.184.237.176,23.49.60.49,1,1138,4,3,2,2,702,54,227.6,5,2,3
10.184.237.176,23.49.60.49,1,108,2,1,1,1,54,54,54.0,2,0,2
10.184.237.176,10.128.128.126,1,4078,10,3,2,2,1514,54,370.7272727272728,11,6,5
10.184.237.176,64.233.188.155,1,1756,13,7,3,3,265,54,117.06666666666666,15,5,10
10.184.237.176,23.49.60.49,1,54,1,1,1,1,54,54,54,1,0,1
10.184.237.176,108.177.97.156,1,54,1,1,1,1,54,54,54,1,0,1
108.177.97.156,10.184.237.176,0,174,3,0,2,3,60,54,58.0,3,1,2
10.184.237.176,23.49.60.49,1,54,1,1,1,1,54,54,54,1,0,1
10.184.237.176,10.128.128.126,1,108,2,1,1,1,54,54,54.0,2,0,2
10.128.128.126,10.184.237.176,0,7862,16,2,2,3,1514,54,462.47058823529414,17,8,9
10.184.237.176,211.36.85.142,0,1188,0,18,6,1,66,66,66.0,18,0,18
10.184.237.176,23.215.135.49,1,54,1,1,1,1,54,54,54,1,0,1
10.184.237.176,64.233.188.155,1,1035,7,2,3,2,265,54,147.85714285714286,7,1,6
10.184.237.176,23.49.60.49,1,54,1,1,1,1,54,54,54,1,0,1
10.184.237.176,52.109.124.5,0,74145,109,6,4,4,1514,54,662.0089285714288,112,42,70
10.184.237.176,23.49.60.49,1,54,1,1,1,1,54,54,54,1,0,1
10.184.237.176,52.114.74.43,1,54,1,1,1,1,54,54,54,1,0,1
10.184.237.176,64.233.188.155,1,265,1,1,1,1,265,265,265,1,0,1
10.184.237.176,64.233.188.155,1,2132,12,5,5,4,265,54,142.13333333333333,15,3,12
10.184.237.176,23.49.60.49,1,54,1,1,1,1,54,54,54,1,0,1
