Source Ip,Dest Ip,Flag,Size,ACK Total, SYN/FIN Total,# of Src Ports,# of Dst Ports,MIN packet size,MAX packet size,AVG packet size,packet amount,INC packets,OUT packets
10.184.237.176,52.108.32.2,0,129175,681,0,2,2,1494,54,189.6842878120411,681,365,316
10.184.237.176,13.107.6.171,1,27369,79,7,5,5,1514,54,329.7469879518072,83,43,40
108.177.97.154,10.184.237.176,1,60,1,1,1,1,60,60,60,1,0,1
10.184.237.176,108.177.97.154,1,108,2,1,1,1,54,54,54.0,2,0,2
10.184.237.176,211.36.85.142,0,66,0,1,1,1,66,66,66,1,0,1
108.177.97.154,10.184.237.176,1,60,1,1,1,1,60,60,60,1,0,1
10.184.237.176,108.177.97.154,1,114,2,1,2,2,60,54,57.0,2,1,1
10.184.237.176,108.177.97.154,1,114,2,1,2,2,60,54,57.0,2,1,1
10.184.237.176,108.177.97.154,1,319,2,1,1,1,265,54,159.5,2,0,2
10.184.237.176,52.114.74.43,1,54,1,1,1,1,54,54,54,1,0,1
108.177.97.154,10.184.237.176,1,60,1,1,1,1,60,60,60,1,0,1
10.184.237.176,108.177.97.154,1,168,3,1,3,2,60,54,56.0,3,1,2
10.184.237.176,13.107.136.9,0,549708,739,0,2,2,1514,54,743.8538565629228,739,397,342
10.184.237.176,108.177.97.154,1,319,2,1,1,1,265,54,159.5,2,0,2
10.184.237.176,52.114.74.43,1,54,1,1,1,1,54,54,54,1,0,1
10.184.237.176,198.252.206.25,0,923,14,0,2,2,112,55,65.92857142857143,14,7,7
10.184.237.176,52.109.124.5,1,42815,57,3,2,2,1514,54,738.1896551724137,58,25,33
13.107.3.128,10.184.237.176,0,60,1,0,1,1,60,60,60,1,0,1
10.184.237.176,108.177.97.188,0,1339,20,0,2,2,87,54,66.95000000000002,20,10,10
10.184.237.176,52.114.74.43,1,54,1,1,1,1,54,54,54,1,0,1
52.109.124.5,10.184.237.176,1,60,1,1,1,1,60,60,60,1,0,1
10.184.237.176,52.109.124.5,1,41852,56,3,3,2,1514,54,734.2456140350877,57,25,32
10.184.237.176,108.177.97.154,1,2065,12,3,4,4,265,54,147.5,14,4,10
10.184.237.176,23.210.215.65,0,54,1,0,1,1,54,54,54,1,0,1
10.184.237.176,108.177.97.154,1,108,2,1,1,1,54,54,54.0,2,0,2
108.177.97.154,10.184.237.176,1,60,1,1,1,1,60,60,60,1,0,1
10.184.237.176,108.177.97.154,1,114,2,1,2,2,60,54,57.0,2,1,1
10.184.237.176,108.177.97.154,1,319,2,1,1,1,265,54,159.5,2,0,2
108.177.97.154,10.184.237.176,1,60,1,1,1,1,60,60,60,1,0,1
10.184.237.176,108.177.97.154,1,114,2,1,2,2,60,54,57.0,2,1,1
10.184.237.176,108.177.97.154,1,114,2,1,2,2,60,54,57.0,2,1,1
52.109.124.5,10.184.237.176,1,60,1,1,1,1,60,60,60,1,0,1
10.184.237.176,52.109.124.5,0,54,1,0,1,1,54,54,54,1,0,1
10.184.237.176,108.177.97.154,1,168,3,1,2,2,60,54,56.0,3,1,2
10.184.237.176,52.114.74.43,1,54,1,1,1,1,54,54,54,1,0,1
10.184.237.176,74.125.204.156,1,2022,11,5,3,3,265,54,155.53846153846155,13,3,10
52.114.74.43,10.184.237.176,0,23335,48,4,4,5,1514,54,466.7,50,30,20
10.184.237.176,74.125.204.156,1,108,2,1,1,1,54,54,54.0,2,0,2
74.125.204.156,10.184.237.176,1,60,1,1,1,1,60,60,60,1,0,1
10.184.237.176,74.125.204.156,1,114,2,1,2,2,60,54,57.0,2,1,1
10.184.237.176,74.125.204.156,1,319,2,1,1,1,265,54,159.5,2,0,2
74.125.204.156,10.184.237.176,1,60,1,1,1,1,60,60,60,1,0,1
10.184.237.176,74.125.204.156,1,114,2,1,2,2,60,54,57.0,2,1,1
10.184.237.176,74.125.204.156,1,114,2,1,2,2,60,54,57.0,2,1,1
10.184.237.176,74.125.204.156,1,114,2,1,2,2,60,54,57.0,2,1,1
10.184.237.176,74.125.204.156,1,114,2,1,2,2,60,54,57.0,2,1,1
10.184.237.176,74.125.204.156,1,168,3,1,2,2,60,54,56.0,3,1,2
10.184.237.176,51.140.98.69,1,54,1,1,1,1,54,54,54,1,0,1
10.184.237.176,51.140.98.69,1,54,1,1,1,1,54,54,54,1,0,1
10.184.237.176,51.140.98.69,1,54,1,1,1,1,54,54,54,1,0,1
10.184.237.176,51.140.98.69,1,54,1,1,1,1,54,54,54,1,0,1
10.184.237.176,51.140.98.69,1,54,1,1,1,1,54,54,54,1,0,1
10.184.237.176,51.140.98.69,1,54,1,1,1,1,54,54,54,1,0,1
10.184.237.176,74.125.204.156,1,1951,10,3,3,3,265,54,162.58333333333334,12,3,9
10.184.237.176,74.125.204.156,1,108,2,1,1,1,54,54,54.0,2,0,2
74.125.204.156,10.184.237.176,1,60,1,1,1,1,60,60,60,1,0,1
10.184.237.176,74.125.204.156,1,114,2,1,2,2,60,54,57.0,2,1,1
10.184.237.176,74.125.204.156,1,114,2,1,2,2,60,54,57.0,2,1,1
10.184.237.176,74.125.204.156,1,319,2,1,1,1,265,54,159.5,2,0,2
74.125.204.156,10.184.237.176,1,60,1,1,1,1,60,60,60,1,0,1
10.184.237.176,74.125.204.156,1,114,2,1,2,2,60,54,57.0,2,1,1
10.184.237.176,74.125.204.156,0,108,2,0,1,1,54,54,54.0,2,0,2
10.184.237.176,51.140.98.69,0,54,1,0,1,1,54,54,54,1,0,1
10.184.237.176,74.125.204.154,1,2154,13,6,3,3,265,54,143.6,15,4,11
10.184.237.176,74.125.204.154,1,108,2,1,1,1,54,54,54.0,2,0,2
74.125.204.154,10.184.237.176,1,60,1,1,1,1,60,60,60,1,0,1
10.184.237.176,74.125.204.154,1,114,2,1,2,2,60,54,57.0,2,1,1
10.184.237.176,74.125.204.154,1,114,2,1,2,2,60,54,57.0,2,1,1
10.184.237.176,74.125.204.154,1,319,2,1,1,1,265,54,159.5,2,0,2
74.125.204.154,10.184.237.176,1,60,1,1,1,1,60,60,60,1,0,1
10.184.237.176,74.125.204.154,1,108,2,1,2,1,54,54,54.0,2,0,2
74.125.204.154,10.184.237.176,1,120,1,1,1,2,60,60,60.0,2,0,2
10.184.237.176,74.125.204.154,1,168,3,1,2,2,60,54,56.0,3,1,2
10.184.237.176,74.125.204.154,0,1511,7,2,2,2,265,54,188.875,8,1,7
13.107.6.171,10.184.237.176,0,120,2,0,1,1,60,60,60.0,2,0,2
