Source Ip,Dest Ip,Flag,Size,ACK Total, SYN/FIN Total,# of Src Ports,# of Dst Ports,MIN packet size,MAX packet size,AVG packet size,packet amount,INC packets,OUT packets
10.184.237.176,52.114.74.43,1,40735,60,1,3,3,1514,54,678.9166666666667,60,19,41
10.184.237.176,23.215.135.49,0,54,1,0,1,1,54,54,54,1,0,1
10.128.128.126,10.184.237.176,1,60,1,1,1,1,60,60,60,1,0,1
10.184.237.176,10.128.128.126,1,108,2,1,1,1,54,54,54.0,2,0,2
10.128.128.126,10.184.237.176,1,7930,17,3,2,3,1514,54,440.55555555555554,18,8,10
10.184.237.176,64.233.188.155,1,325,2,1,2,2,265,60,162.5,2,1,1
10.184.237.176,64.233.188.155,1,108,2,1,1,1,54,54,54.0,2,0,2
64.233.188.155,10.184.237.176,1,60,1,1,1,1,60,60,60,1,0,1
10.184.237.176,64.233.188.155,1,114,2,1,2,2,60,54,57.0,2,1,1
10.184.237.176,64.233.188.155,1,114,2,1,2,2,60,54,57.0,2,1,1
10.184.237.176,23.49.60.50,1,54,1,1,1,1,54,54,54,1,0,1
10.184.237.176,64.233.188.155,1,114,2,1,2,2,60,54,57.0,2,1,1
10.184.237.176,23.49.60.50,1,54,1,1,1,1,54,54,54,1,0,1
10.184.237.176,64.233.188.155,1,319,2,1,1,1,265,54,159.5,2,0,2
10.184.237.176,198.252.206.25,0,1086,16,0,2,2,112,55,67.875,16,8,8
10.184.237.176,64.233.188.155,1,320,2,1,2,1,265,55,160.0,2,0,2
10.184.237.176,108.177.97.188,0,715,12,0,2,2,66,55,59.583333333333336,12,5,7
10.184.237.176,23.49.60.50,1,108,2,1,2,1,54,54,54.0,2,0,2
10.184.237.176,13.107.6.171,1,26156,65,8,5,5,1514,54,379.07246376811594,69,35,34
10.184.237.176,64.233.188.155,1,1795,11,3,5,3,265,54,138.07692307692307,13,3,10
10.184.237.176,52.230.3.194,0,936,8,0,1,1,126,54,117.0,8,0,8
10.184.237.176,104.74.39.12,1,11122,28,3,2,2,1514,54,383.51724137931035,29,12,17
10.184.237.176,23.49.60.50,1,54,1,1,1,1,54,54,54,1,0,1
10.184.237.176,64.233.188.155,1,108,2,1,1,1,54,54,54.0,2,0,2
10.184.237.176,64.233.188.155,1,265,1,1,1,1,265,265,265,1,0,1
64.233.188.155,10.184.237.176,1,60,1,1,1,1,60,60,60,1,0,1
10.184.237.176,64.233.188.155,1,114,2,1,2,2,60,54,57.0,2,1,1
10.184.237.176,64.233.188.155,1,114,2,1,2,2,60,54,57.0,2,1,1
10.184.237.176,64.233.188.155,1,114,2,1,2,2,60,54,57.0,2,1,1
10.184.237.176,64.233.188.155,1,319,2,1,1,1,265,54,159.5,2,0,2
10.184.237.176,64.233.188.155,1,174,3,1,2,3,60,54,58.0,3,2,1
10.184.237.176,13.107.136.9,0,2063125,2357,2,2,2,1514,54,874.9469889737061,2358,1177,1181
10.184.237.176,52.230.85.180,0,8578,28,2,2,2,1514,54,295.7931034482759,29,13,16
10.184.237.176,64.233.188.155,1,168,3,1,2,2,60,54,56.0,3,1,2
10.184.237.176,52.108.32.2,0,176199,758,2,3,2,1514,54,232.14624505928847,759,420,339
10.184.237.176,52.109.120.3,1,44053,64,3,2,2,1514,54,677.7384615384616,65,27,38
10.184.237.176,108.177.97.154,1,1889,12,6,3,3,265,54,134.92857142857142,14,4,10
52.109.120.3,10.184.237.176,1,60,1,1,1,1,60,60,60,1,0,1
10.184.237.176,52.109.120.3,1,41906,57,3,3,2,1514,54,722.5172413793103,58,25,33
10.184.237.176,23.49.60.50,1,54,1,1,1,1,54,54,54,1,0,1
104.74.39.12,10.184.237.176,1,199,3,1,2,2,85,54,66.33333333333333,3,1,2
10.184.237.176,108.177.97.154,1,114,2,1,2,2,60,54,57.0,2,1,1
10.184.237.176,108.177.97.154,1,108,2,1,1,1,54,54,54.0,2,0,2
10.184.237.176,108.177.97.154,1,265,1,1,1,1,265,265,265,1,0,1
10.184.237.176,108.177.97.154,1,265,1,1,1,1,265,265,265,1,0,1
108.177.97.154,10.184.237.176,1,60,1,1,1,1,60,60,60,1,0,1
10.184.237.176,108.177.97.154,1,108,2,1,2,1,54,54,54.0,2,0,2
108.177.97.154,10.184.237.176,1,325,2,1,2,2,265,60,162.5,2,1,1
52.109.120.3,10.184.237.176,1,60,1,1,1,1,60,60,60,1,0,1
10.184.237.176,52.109.120.3,1,42285,57,3,3,2,1514,54,729.051724137931,58,25,33
108.177.97.154,10.184.237.176,1,60,1,1,1,1,60,60,60,1,0,1
10.184.237.176,108.177.97.154,1,319,2,1,1,1,265,54,159.5,2,0,2
10.184.237.176,108.177.97.154,1,115,2,1,2,2,60,55,57.5,2,1,1
10.184.237.176,108.177.97.154,1,1810,14,7,4,3,265,54,113.125,16,5,11
13.107.6.171,10.184.237.176,0,1822,17,0,2,3,447,54,107.17647058823529,17,7,10
52.109.120.3,10.184.237.176,1,60,1,1,1,1,60,60,60,1,0,1
10.184.237.176,52.109.120.3,0,54,1,0,1,1,54,54,54,1,0,1
10.184.237.176,23.49.60.50,0,54,1,0,1,1,54,54,54,1,0,1
10.184.237.176,108.177.97.154,1,114,2,1,2,2,60,54,57.0,2,1,1
10.184.237.176,108.177.97.154,1,108,2,1,1,1,54,54,54.0,2,0,2
10.184.237.176,52.109.124.5,1,43432,58,3,2,2,1514,54,736.1355932203389,59,26,33
108.177.97.154,10.184.237.176,1,60,1,1,1,1,60,60,60,1,0,1
10.184.237.176,108.177.97.154,1,114,2,1,2,2,60,54,57.0,2,1,1
