Source Ip,Dest Ip,Flag,Size,ACK Total, SYN/FIN Total,# of Src Ports,# of Dst Ports,MIN packet size,MAX packet size,AVG packet size,packet amount,INC packets,OUT packets
10.184.237.176,13.107.6.171,1,29708,88,7,5,5,1514,54,326.4615384615384,91,48,43
52.108.32.2,10.184.237.176,0,201941,779,0,2,2,590,54,259.23106546854933,779,349,430
10.184.237.176,52.114.74.43,1,54,1,1,1,1,54,54,54,1,0,1
10.184.237.176,108.177.125.154,1,584,3,1,1,1,265,54,194.66666666666666,3,0,3
10.184.237.176,52.114.74.43,1,54,1,1,1,1,54,54,54,1,0,1
10.184.237.176,211.36.85.142,0,462,0,7,3,1,66,66,66.0,7,0,7
10.184.237.176,52.114.74.43,1,30230,62,5,4,3,1514,54,472.34375,64,27,37
10.184.237.176,52.109.120.3,1,41798,55,3,2,2,1514,54,746.3928571428571,56,25,31
52.109.120.3,10.184.237.176,1,2509,5,1,2,2,1514,60,501.8,5,2,3
10.184.237.176,52.109.120.3,1,50536,69,3,3,2,1514,54,721.9428571428572,70,26,44
52.114.74.43,10.184.237.176,1,590,3,1,3,2,482,54,196.66666666666666,3,2,1
10.184.237.176,198.252.206.25,0,1237,18,0,2,2,112,55,68.72222222222223,18,9,9
10.184.237.176,13.107.136.9,1,666146,702,1,2,2,1514,54,948.925925925926,702,449,253
10.184.237.176,52.114.74.43,1,54,1,1,1,1,54,54,54,1,0,1
10.184.237.176,52.114.74.43,1,54,1,1,1,1,54,54,54,1,0,1
10.184.237.176,108.177.125.154,1,265,1,1,1,1,265,265,265,1,0,1
10.184.237.176,108.177.97.188,0,660,11,0,2,2,66,55,60.0,11,5,6
10.184.237.176,108.177.125.154,1,230,4,1,3,2,66,54,57.5,4,1,3
10.184.237.176,52.114.74.43,1,222,4,1,4,2,60,54,55.5,4,1,3
10.184.237.176,108.177.125.154,1,1763,11,4,2,3,265,54,146.91666666666666,12,4,8
10.184.237.176,108.177.97.156,1,378,5,4,2,2,66,54,63.0,6,3,3
10.184.237.176,52.109.120.3,1,54,1,1,1,1,54,54,54,1,0,1
52.109.120.3,10.184.237.176,1,120,2,1,1,1,60,60,60.0,2,0,2
10.184.237.176,52.109.120.3,1,44819,69,4,3,2,1514,54,631.2535211267606,71,31,40
10.184.237.176,108.177.125.154,1,108,2,1,1,1,54,54,54.0,2,0,2
10.184.237.176,108.177.97.156,1,2058,14,6,4,4,265,54,121.05882352941177,17,5,12
108.177.125.154,10.184.237.176,1,60,1,1,1,1,60,60,60,1,0,1
10.184.237.176,108.177.125.154,1,319,2,1,1,1,265,54,159.5,2,0,2
108.177.125.154,10.184.237.176,1,60,1,1,1,1,60,60,60,1,0,1
10.184.237.176,108.177.125.154,1,228,4,1,3,3,60,54,57.0,4,2,2
10.184.237.176,108.177.125.154,1,319,2,1,1,1,265,54,159.5,2,0,2
10.184.237.176,52.109.124.5,1,46780,63,3,2,2,1514,54,730.9375,64,27,37
10.184.237.176,108.177.125.154,0,218,4,0,2,1,55,54,54.5,4,0,4
52.109.124.5,10.184.237.176,1,60,1,1,1,1,60,60,60,1,0,1
10.184.237.176,52.109.124.5,0,54,1,0,1,1,54,54,54,1,0,1
10.184.237.176,108.177.97.156,1,114,2,1,2,2,60,54,57.0,2,1,1
10.184.237.176,108.177.97.156,1,108,2,1,1,1,54,54,54.0,2,0,2
108.177.97.156,10.184.237.176,1,60,1,1,1,1,60,60,60,1,0,1
10.184.237.176,108.177.97.156,1,319,2,1,1,1,265,54,159.5,2,0,2
108.177.97.156,10.184.237.176,1,60,1,1,1,1,60,60,60,1,0,1
10.184.237.176,108.177.97.156,1,114,2,1,2,2,60,54,57.0,2,1,1
10.184.237.176,108.177.97.156,1,319,2,1,1,1,265,54,159.5,2,0,2
52.109.120.3,10.184.237.176,1,60,1,1,1,1,60,60,60,1,0,1
10.184.237.176,52.109.120.3,0,18641,33,2,3,2,1514,54,548.264705882353,34,15,19
108.177.97.156,10.184.237.176,1,169,2,1,2,2,60,54,56.333333333333336,3,2,1
10.184.237.176,108.177.97.156,1,1896,9,3,2,3,265,54,172.36363636363637,11,3,8
10.184.237.176,108.177.97.156,1,108,2,1,1,1,54,54,54.0,2,0,2
108.177.97.156,10.184.237.176,1,60,1,1,1,1,60,60,60,1,0,1
10.184.237.176,108.177.97.156,1,114,2,1,2,2,60,54,57.0,2,1,1
10.184.237.176,108.177.97.156,1,319,2,1,1,1,265,54,159.5,2,0,2
108.177.97.156,10.184.237.176,1,60,1,1,1,1,60,60,60,1,0,1
10.184.237.176,108.177.97.156,1,1865,12,5,4,3,265,54,133.21428571428572,14,3,11
10.184.237.176,23.215.135.49,1,2382,10,5,2,2,718,54,198.5,12,3,9
10.184.237.176,108.177.97.156,1,108,2,1,1,1,54,54,54.0,2,0,2
108.177.97.156,10.184.237.176,1,60,1,1,1,1,60,60,60,1,0,1
10.184.237.176,108.177.97.156,1,319,2,1,2,1,265,54,159.5,2,0,2
108.177.97.156,10.184.237.176,1,60,1,1,1,1,60,60,60,1,0,1
10.184.237.176,108.177.97.156,1,319,2,1,1,1,265,54,159.5,2,0,2
10.184.237.176,23.215.135.49,1,108,2,1,1,1,54,54,54.0,2,0,2
10.184.237.176,10.128.128.126,1,4094,10,3,2,2,1514,54,372.1818181818182,11,6,5
10.184.237.176,23.215.135.48,0,2490,12,2,2,2,250,54,191.53846153846155,13,1,12
10.184.237.176,10.128.128.126,1,108,2,1,1,1,54,54,54.0,2,0,2
10.128.128.126,10.184.237.176,0,60,1,0,1,1,60,60,60,1,0,1
10.184.237.176,108.177.97.156,0,1932,15,6,5,5,265,54,107.33333333333333,18,6,12
13.107.6.171,10.184.237.176,0,120,2,0,1,1,60,60,60.0,2,0,2
10.184.237.176,52.114.74.43,1,318,1,5,3,1,66,54,63.6,5,0,5
10.184.237.176,13.107.136.9,1,54,1,1,1,1,54,54,54,1,0,1
10.184.237.176,13.107.136.9,1,54,1,1,1,1,54,54,54,1,0,1
52.114.74.43,10.184.237.176,0,5998,13,2,3,3,1514,54,461.38461538461536,13,8,5
