Source Ip,Dest Ip,Flag,Size,ACK Total, SYN/FIN Total,# of Src Ports,# of Dst Ports,MIN packet size,MAX packet size,AVG packet size,packet amount,INC packets,OUT packets
144.76.116.39,10.184.237.176,1,8345,10,1,2,2,1514,54,834.5,10,4,6
10.184.237.176,144.76.116.39,1,108,2,1,1,1,54,54,54.0,2,0,2
10.128.128.126,10.184.237.176,1,60,1,1,1,1,60,60,60,1,0,1
10.184.237.176,10.128.128.126,1,108,2,1,1,1,54,54,54.0,2,0,2
10.128.128.126,10.184.237.176,1,12103,28,5,3,4,1514,54,403.43333333333334,30,15,15
144.76.116.39,10.184.237.176,1,169,3,1,2,2,60,54,56.333333333333336,3,2,1
52.108.32.2,10.184.237.176,0,52807,321,0,2,2,1494,54,164.5077881619937,321,145,176
10.184.237.176,13.107.136.9,0,742281,862,0,2,2,1514,54,861.1148491879347,862,507,355
74.125.204.155,10.184.237.176,1,60,1,1,1,1,60,60,60,1,0,1
10.184.237.176,74.125.204.155,1,114,2,1,2,2,60,54,57.0,2,1,1
10.184.237.176,74.125.204.155,1,108,2,1,1,1,54,54,54.0,2,0,2
216.58.221.227,10.184.237.176,1,60,1,1,1,1,60,60,60,1,0,1
10.184.237.176,216.58.221.227,0,466,7,0,3,3,66,54,58.25,8,3,5
74.125.204.155,10.184.237.176,1,60,1,1,1,1,60,60,60,1,0,1
10.184.237.176,74.125.204.155,1,319,2,1,1,1,265,54,159.5,2,0,2
10.184.237.176,216.58.200.2,0,54,1,0,1,1,54,54,54,1,0,1
10.184.237.176,23.49.60.49,1,54,1,1,1,1,54,54,54,1,0,1
10.184.237.176,152.195.56.209,1,8980,19,3,2,2,1514,54,449.0,20,10,10
152.195.56.209,10.184.237.176,1,199,3,1,2,2,85,54,66.33333333333333,3,1,2
152.195.56.209,10.184.237.176,0,120,2,0,1,1,60,60,60.0,2,0,2
10.184.237.176,8.36.113.113,1,7764,23,4,2,2,1454,54,310.56000000000006,25,11,14
10.184.237.176,23.49.60.49,1,54,1,1,1,1,54,54,54,1,0,1
104.20.123.38,10.184.237.176,1,60,1,1,1,1,60,60,60,1,0,1
10.184.237.176,104.20.123.38,1,229,4,1,3,2,66,54,57.25,4,1,3
8.36.113.113,10.184.237.176,1,173,2,1,2,2,107,66,86.5,2,1,1
8.36.113.113,10.184.237.176,1,120,2,1,1,1,60,60,60.0,2,0,2
10.184.237.176,8.36.113.113,1,7514,26,4,3,3,1454,54,268.35714285714283,28,14,14
10.184.237.176,23.49.60.49,1,54,1,1,1,1,54,54,54,1,0,1
10.184.237.176,13.107.6.171,0,13289,41,5,4,5,1514,54,309.0465116279069,43,23,20
10.184.237.176,74.125.204.155,1,265,1,1,1,1,265,265,265,1,0,1
10.184.237.176,52.230.85.180,0,358,3,0,2,2,178,54,119.33333333333333,3,1,2
10.184.237.176,104.85.70.36,1,5486,11,3,2,2,1514,54,457.1666666666667,12,6,6
10.184.237.176,23.57.114.227,1,7297,26,9,4,4,1514,54,251.62068965517238,29,14,15
10.184.237.176,23.49.60.49,0,108,2,0,2,1,54,54,54.0,2,0,2
10.184.237.176,198.252.206.25,0,738,10,0,2,2,112,55,73.8,10,5,5
10.184.237.176,108.177.97.188,0,363,6,0,2,2,66,55,60.5,6,3,3
10.184.237.176,74.125.204.155,1,289,4,1,3,3,60,54,57.8,5,3,2
10.184.237.176,74.125.204.155,1,2095,10,3,2,2,265,54,190.45454545454547,11,1,10
104.20.123.38,10.184.237.176,0,236,3,0,2,3,66,55,59.0,4,2,2
144.76.116.39,10.184.237.176,1,60,1,1,1,1,60,60,60,1,0,1
10.184.237.176,144.76.116.39,0,114,2,0,2,2,60,54,57.0,2,1,1
10.184.237.176,52.109.124.5,1,42218,59,3,2,2,1514,54,703.6333333333332,60,26,34
10.184.237.176,23.49.60.50,1,1156,4,3,2,2,714,54,231.2,5,2,3
10.184.237.176,23.49.60.50,1,108,2,1,1,1,54,54,54.0,2,0,2
10.184.237.176,23.49.60.50,1,1199,4,3,2,2,714,54,239.8,5,2,3
10.184.237.176,23.49.60.50,1,108,2,1,1,1,54,54,54.0,2,0,2
10.184.237.176,23.49.60.50,1,54,1,1,1,1,54,54,54,1,0,1
10.184.237.176,23.49.60.50,1,1138,4,3,2,2,702,54,227.6,5,2,3
10.184.237.176,23.49.60.50,1,108,2,1,1,1,54,54,54.0,2,0,2
10.184.237.176,23.49.60.50,1,54,1,1,1,1,54,54,54,1,0,1
10.184.237.176,23.49.60.50,1,54,1,1,1,1,54,54,54,1,0,1
10.184.237.176,23.49.60.50,1,54,1,1,1,1,54,54,54,1,0,1
10.184.237.176,23.49.60.50,1,54,1,1,1,1,54,54,54,1,0,1
10.184.237.176,23.49.60.50,1,54,1,1,1,1,54,54,54,1,0,1
52.109.124.5,10.184.237.176,1,60,1,1,1,1,60,60,60,1,0,1
10.184.237.176,52.109.124.5,0,54,1,0,1,1,54,54,54,1,0,1
10.184.237.176,23.49.60.50,1,54,1,1,1,1,54,54,54,1,0,1
10.184.237.176,23.49.60.50,1,54,1,1,1,1,54,54,54,1,0,1
10.184.237.176,23.49.60.50,1,54,1,1,1,1,54,54,54,1,0,1
10.184.237.176,10.128.128.126,1,108,2,1,1,1,54,54,54.0,2,0,2
10.128.128.126,10.184.237.176,1,60,1,1,1,1,60,60,60,1,0,1
10.184.237.176,10.128.128.126,1,108,2,1,1,1,54,54,54.0,2,0,2
10.128.128.126,10.184.237.176,0,120,2,0,1,2,60,60,60.0,2,0,2
10.184.237.176,23.49.60.50,1,54,1,1,1,1,54,54,54,1,0,1
10.184.237.176,23.49.60.50,1,54,1,1,1,1,54,54,54,1,0,1
10.184.237.176,23.49.60.50,1,54,1,1,1,1,54,54,54,1,0,1
10.184.237.176,8.36.80.192,1,10535,27,4,2,2,1454,54,363.2758620689655,29,12,17
10.184.237.176,8.36.80.195,1,43063,59,4,2,2,1514,54,705.9508196721312,61,23,38
10.184.237.176,8.36.80.192,1,107,1,1,1,1,107,107,107,1,0,1
10.184.237.176,23.49.60.50,1,54,1,1,1,1,54,54,54,1,0,1
8.36.80.192,10.184.237.176,1,180,3,1,1,1,60,60,60.0,3,0,3
10.184.237.176,8.36.80.192,1,114,2,1,2,2,60,54,57.0,2,1,1
10.184.237.176,8.36.80.192,0,54,1,0,1,1,54,54,54,1,0,1
10.184.237.176,23.49.60.50,1,54,1,1,1,1,54,54,54,1,0,1
10.184.237.176,23.49.60.50,1,54,1,1,1,1,54,54,54,1,0,1
10.184.237.176,23.57.114.227,1,54,1,1,1,1,54,54,54,1,0,1
10.184.237.176,23.57.114.227,1,54,1,1,1,1,54,54,54,1,0,1
10.184.237.176,23.57.114.227,1,54,1,1,1,1,54,54,54,1,0,1
23.57.114.227,10.184.237.176,1,60,1,1,1,1,60,60,60,1,0,1
10.184.237.176,23.57.114.227,1,108,2,1,2,1,54,54,54.0,2,0,2
10.184.237.176,23.57.114.227,1,54,1,1,1,1,54,54,54,1,0,1
23.57.114.227,10.184.237.176,1,60,1,1,1,1,60,60,60,1,0,1
10.184.237.176,23.57.114.227,1,114,2,1,2,2,60,54,57.0,2,1,1
10.184.237.176,23.57.114.227,0,252,4,0,2,4,66,54,63.0,4,3,1
104.85.70.36,10.184.237.176,1,60,1,1,1,1,60,60,60,1,0,1
10.184.237.176,104.85.70.36,0,54,1,0,1,1,54,54,54,1,0,1
10.184.237.176,52.109.120.3,1,19303,31,3,2,2,1514,54,603.2187499999999,32,15,17
10.184.237.176,23.49.60.50,0,3093,15,2,5,2,299,54,193.3125,16,1,15
10.184.237.176,74.125.204.155,0,114,2,0,2,2,60,54,57.0,2,1,1
10.184.237.176,8.36.80.195,1,215,3,1,1,1,107,54,71.66666666666667,3,0,3
10.184.237.176,8.36.80.195,1,107,1,1,1,1,107,107,107,1,0,1
10.184.237.176,8.36.80.195,1,107,1,1,1,1,107,107,107,1,0,1
10.184.237.176,8.36.113.182,0,1626928,1694,3,2,2,1502,54,959.2735849056601,1696,1063,633
10.184.237.176,8.36.80.195,1,107,1,1,1,1,107,107,107,1,0,1
10.184.237.176,8.36.80.195,1,107,1,1,1,1,107,107,107,1,0,1
