Source Ip,Dest Ip,Flag,Size,ACK Total, SYN/FIN Total,# of Src Ports,# of Dst Ports,MIN packet size,MAX packet size,AVG packet size,packet amount,INC packets,OUT packets
104.20.122.38,10.184.237.176,1,3894,16,1,2,3,1085,54,243.375,16,8,8
52.114.74.43,10.184.237.176,0,55086,95,4,5,5,1514,54,567.8969072164953,97,58,39
52.108.32.2,10.184.237.176,0,390250,2226,0,2,2,1514,54,175.31446540880503,2226,840,1386
10.184.237.176,211.36.85.142,0,132,0,2,1,1,66,66,66.0,2,0,2
10.184.237.176,108.177.125.156,1,590,3,1,2,2,265,60,196.66666666666666,3,1,2
10.184.237.176,198.252.206.25,0,989,15,0,2,2,112,55,65.93333333333334,15,8,7
10.184.237.176,108.177.97.188,0,847,14,0,2,2,66,55,60.5,14,7,7
10.128.128.128,10.184.237.176,1,1207,6,2,4,2,293,82,172.42857142857142,7,0,7
13.107.136.9,10.184.237.176,0,1038905,1221,2,2,3,1514,54,850.1677577741402,1222,479,743
10.184.237.176,108.177.125.156,1,108,2,1,1,1,54,54,54.0,2,0,2
108.177.125.156,10.184.237.176,1,60,1,1,1,1,60,60,60,1,0,1
10.184.237.176,108.177.125.156,1,114,2,1,2,2,60,54,57.0,2,1,1
10.184.237.176,108.177.125.156,1,114,2,1,2,2,60,54,57.0,2,1,1
10.184.237.176,108.177.125.156,1,114,2,1,2,2,60,54,57.0,2,1,1
10.184.237.176,104.20.122.38,1,229,4,1,3,2,66,54,57.25,4,1,3
10.184.237.176,23.66.249.177,1,54,1,1,1,1,54,54,54,1,0,1
10.184.237.176,23.40.74.22,1,54,1,1,1,1,54,54,54,1,0,1
10.184.237.176,23.40.74.22,1,54,1,1,1,1,54,54,54,1,0,1
10.184.237.176,23.40.74.22,1,54,1,1,1,1,54,54,54,1,0,1
23.66.249.177,10.184.237.176,1,60,1,1,1,1,60,60,60,1,0,1
10.184.237.176,23.66.249.177,0,54,1,0,1,1,54,54,54,1,0,1
23.40.74.22,10.184.237.176,1,60,1,1,1,1,60,60,60,1,0,1
10.184.237.176,23.40.74.22,1,114,2,1,2,2,60,54,57.0,2,1,1
10.184.237.176,23.40.74.22,1,114,2,1,2,2,60,54,57.0,2,1,1
10.184.237.176,23.40.74.22,0,54,1,0,1,1,54,54,54,1,0,1
10.184.237.176,108.177.125.156,1,319,2,1,1,1,265,54,159.5,2,0,2
108.177.125.156,10.184.237.176,1,60,1,1,1,1,60,60,60,1,0,1
10.184.237.176,108.177.125.156,1,319,2,1,1,1,265,54,159.5,2,0,2
10.128.128.128,10.184.237.176,1,375,2,1,1,1,293,82,187.5,2,0,2
10.184.237.176,96.17.72.32,1,1156,4,3,2,2,714,54,231.2,5,2,3
10.184.237.176,96.17.72.32,1,108,2,1,1,1,54,54,54.0,2,0,2
10.184.237.176,10.128.128.126,1,7916,17,3,2,2,1514,54,439.7777777777778,18,9,9
10.184.237.176,96.17.72.32,1,120,1,2,2,1,66,54,60.0,2,0,2
96.17.72.32,10.184.237.176,1,1072,4,2,2,2,702,54,268.0,4,2,2
10.184.237.176,96.17.72.32,1,108,2,1,1,1,54,54,54.0,2,0,2
10.184.237.176,96.17.72.32,1,54,1,1,1,1,54,54,54,1,0,1
10.184.237.176,96.17.72.32,1,54,1,1,1,1,54,54,54,1,0,1
10.184.237.176,96.17.72.32,1,54,1,1,1,1,54,54,54,1,0,1
10.184.237.176,96.17.72.32,1,54,1,1,1,1,54,54,54,1,0,1
10.184.237.176,96.17.72.32,1,54,1,1,1,1,54,54,54,1,0,1
10.184.237.176,96.17.72.32,1,54,1,1,1,1,54,54,54,1,0,1
10.184.237.176,96.17.72.32,1,54,1,1,1,1,54,54,54,1,0,1
10.184.237.176,10.128.128.126,1,108,2,1,1,1,54,54,54.0,2,0,2
10.128.128.126,10.184.237.176,0,60,1,0,1,1,60,60,60,1,0,1
10.184.237.176,96.17.72.32,1,54,1,1,1,1,54,54,54,1,0,1
10.184.237.176,13.107.6.171,1,11751,40,5,4,5,1514,54,279.7857142857143,42,22,20
10.184.237.176,96.17.72.32,1,54,1,1,1,1,54,54,54,1,0,1
10.184.237.176,96.17.72.32,0,108,2,0,2,1,54,54,54.0,2,0,2
10.128.128.128,10.184.237.176,1,2462,12,1,6,3,293,82,205.16666666666666,12,0,12
10.184.237.176,108.177.125.156,1,230,3,1,3,3,60,55,57.5,4,2,2
10.184.237.176,108.177.125.157,1,2101,10,3,2,2,265,54,191.0,11,2,9
104.20.122.38,10.184.237.176,0,665,10,0,2,3,66,55,60.45454545454545,11,5,6
10.184.237.176,108.177.125.156,1,319,2,1,1,1,265,54,159.5,2,0,2
10.184.237.176,108.177.125.157,1,108,2,1,1,1,54,54,54.0,2,0,2
10.128.128.128,10.184.237.176,1,82,1,1,1,1,82,82,82,1,0,1
108.177.125.157,10.184.237.176,1,60,1,1,1,1,60,60,60,1,0,1
10.184.237.176,108.177.125.157,1,114,2,1,2,2,60,54,57.0,2,1,1
10.128.128.128,10.184.237.176,1,3095,17,1,4,3,293,82,182.05882352941177,17,0,17
10.184.237.176,108.177.125.157,1,114,2,1,2,2,60,54,57.0,2,1,1
10.184.237.176,108.177.125.157,1,114,2,1,2,2,60,54,57.0,2,1,1
10.184.237.176,108.177.125.157,1,114,2,1,2,2,60,54,57.0,2,1,1
10.184.237.176,108.177.125.157,1,168,3,1,2,2,60,54,56.0,3,1,2
10.184.237.176,104.25.219.21,1,54,1,1,1,1,54,54,54,1,0,1
104.25.219.21,10.184.237.176,1,60,1,1,1,1,60,60,60,1,0,1
10.184.237.176,104.25.219.21,0,54,1,0,1,1,54,54,54,1,0,1
10.184.237.176,23.215.135.49,1,54,1,1,1,1,54,54,54,1,0,1
23.215.135.49,10.184.237.176,1,60,1,1,1,1,60,60,60,1,0,1
10.184.237.176,23.215.135.49,0,54,1,0,1,1,54,54,54,1,0,1
108.177.125.157,10.184.237.176,1,60,1,1,1,1,60,60,60,1,0,1
10.184.237.176,52.230.84.217,0,358,3,0,2,2,178,54,119.33333333333333,3,1,2
10.184.237.176,108.177.125.156,0,170,2,0,2,2,60,55,56.666666666666664,3,1,2
108.177.125.157,10.184.237.176,1,60,1,1,1,1,60,60,60,1,0,1
10.184.237.176,108.177.125.157,1,2545,16,7,3,3,265,54,141.38888888888889,18,4,14
10.184.237.176,108.177.125.157,1,356,6,1,3,3,66,54,59.333333333333336,6,3,3
10.184.237.176,52.109.120.3,1,41830,55,3,2,2,1514,54,746.9642857142859,56,25,31
52.109.120.3,10.184.237.176,1,60,1,1,1,1,60,60,60,1,0,1
10.184.237.176,52.109.120.3,1,41906,57,3,3,2,1514,54,722.5172413793103,58,25,33
108.177.125.157,10.184.237.176,1,120,2,1,1,2,60,60,60.0,2,0,2
10.184.237.176,108.177.125.157,1,108,2,1,1,1,54,54,54.0,2,0,2
10.184.237.176,108.177.125.157,1,1817,11,5,3,4,265,54,139.76923076923077,13,4,9
13.107.6.171,10.184.237.176,0,22849,88,10,4,5,1514,54,219.70192307692307,104,41,63
10.128.128.128,10.184.237.176,1,2168,11,1,3,3,293,82,197.0909090909091,11,0,11
10.184.237.176,52.230.85.180,1,1147,10,1,1,1,126,54,114.7,10,0,10
10.184.237.176,108.177.125.157,1,108,2,1,1,1,54,54,54.0,2,0,2
108.177.125.157,10.184.237.176,1,60,1,1,1,1,60,60,60,1,0,1
10.184.237.176,108.177.125.157,1,114,2,1,2,2,60,54,57.0,2,1,1
10.184.237.176,108.177.125.157,1,114,2,1,2,2,60,54,57.0,2,1,1
10.184.237.176,108.177.125.157,1,114,2,1,2,2,60,54,57.0,2,1,1
10.184.237.176,108.177.125.157,1,319,2,1,1,1,265,54,159.5,2,0,2
108.177.125.157,10.184.237.176,1,60,1,1,1,1,60,60,60,1,0,1
10.184.237.176,108.177.125.157,1,114,2,1,2,2,60,54,57.0,2,1,1
10.128.128.128,10.184.237.176,1,457,3,1,2,2,293,82,152.33333333333334,3,0,3
10.184.237.176,108.177.125.157,1,319,2,1,1,1,265,54,159.5,2,0,2
108.177.125.157,10.184.237.176,1,60,1,1,1,1,60,60,60,1,0,1
10.184.237.176,108.177.125.157,1,2505,16,3,4,4,265,54,139.16666666666666,18,5,13
10.128.128.128,10.184.237.176,0,3352,17,0,4,3,293,82,167.60000000000002,20,0,20
52.109.120.3,10.184.237.176,1,60,1,1,1,1,60,60,60,1,0,1
10.184.237.176,52.109.120.3,1,41852,56,3,3,2,1514,54,734.2456140350877,57,25,32
10.184.237.176,52.230.3.194,0,8437,24,2,2,2,1514,54,337.48,25,11,14
52.230.85.180,10.184.237.176,0,2028,8,0,2,2,320,54,253.5,8,1,7
10.184.237.176,108.177.125.157,1,108,2,1,1,1,54,54,54.0,2,0,2
108.177.125.157,10.184.237.176,1,60,1,1,1,1,60,60,60,1,0,1
10.184.237.176,108.177.125.157,1,114,2,1,2,2,60,54,57.0,2,1,1
10.184.237.176,108.177.125.157,1,114,2,1,2,2,60,54,57.0,2,1,1
10.184.237.176,108.177.125.157,1,114,2,1,2,2,60,54,57.0,2,1,1
10.184.237.176,108.177.125.157,1,114,2,1,2,2,60,54,57.0,2,1,1
10.184.237.176,108.177.125.157,1,114,2,1,2,2,60,54,57.0,2,1,1
10.184.237.176,108.177.125.157,1,168,3,1,2,2,60,54,56.0,3,1,2
10.184.237.176,13.75.80.18,0,37689,70,7,3,3,1514,54,509.310810810811,74,30,44
52.109.120.3,10.184.237.176,1,60,1,1,1,1,60,60,60,1,0,1
10.184.237.176,52.109.120.3,0,54,1,0,1,1,54,54,54,1,0,1
108.177.125.157,10.184.237.176,1,60,1,1,1,1,60,60,60,1,0,1
10.184.237.176,108.177.125.157,0,1165,13,8,3,3,265,54,77.66666666666667,15,6,9
10.184.237.176,52.109.124.5,1,41858,56,3,2,2,1514,54,734.3508771929825,57,26,31
52.109.124.5,10.184.237.176,1,60,1,1,1,1,60,60,60,1,0,1
10.184.237.176,52.109.124.5,0,54,1,0,1,1,54,54,54,1,0,1
