Source Ip,Dest Ip,Flag,Size,ACK Total, SYN/FIN Total,# of Src Ports,# of Dst Ports,MIN packet size,MAX packet size,AVG packet size,packet amount,INC packets,OUT packets
10.184.237.176,52.108.32.2,0,76243,571,0,2,2,981,54,133.52539404553426,571,304,267
10.184.237.176,108.177.125.157,1,325,2,1,2,2,265,60,162.5,2,1,1
10.184.237.176,13.107.136.9,0,819394,1004,2,3,3,1514,54,815.3174129353233,1005,589,416
10.184.237.176,198.252.206.25,0,989,15,0,2,2,112,55,65.93333333333334,15,8,7
10.184.237.176,108.177.125.157,1,108,2,1,1,1,54,54,54.0,2,0,2
108.177.125.157,10.184.237.176,1,60,1,1,1,1,60,60,60,1,0,1
10.184.237.176,108.177.125.157,1,114,2,1,2,2,60,54,57.0,2,1,1
10.184.237.176,108.177.125.157,1,319,2,1,1,1,265,54,159.5,2,0,2
108.177.125.157,10.184.237.176,1,60,1,1,1,1,60,60,60,1,0,1
10.184.237.176,108.177.125.157,1,114,2,1,2,2,60,54,57.0,2,1,1
10.184.237.176,96.17.72.48,1,1156,4,3,2,2,714,54,231.2,5,2,3
10.184.237.176,96.17.72.48,1,108,2,1,1,1,54,54,54.0,2,0,2
10.184.237.176,10.128.128.126,1,7862,16,3,2,2,1514,54,462.47058823529414,17,9,8
96.17.72.48,10.184.237.176,1,1198,4,3,2,3,702,54,199.66666666666666,6,3,3
10.184.237.176,96.17.72.48,1,108,2,1,1,1,54,54,54.0,2,0,2
10.184.237.176,96.17.72.48,1,54,1,1,1,1,54,54,54,1,0,1
10.184.237.176,96.17.72.48,1,54,1,1,1,1,54,54,54,1,0,1
10.184.237.176,104.20.122.38,1,535,8,1,2,2,100,54,66.875,8,4,4
10.184.237.176,108.177.125.157,1,319,2,1,1,1,265,54,159.5,2,0,2
10.184.237.176,96.17.72.48,1,54,1,1,1,1,54,54,54,1,0,1
10.184.237.176,96.17.72.48,1,54,1,1,1,1,54,54,54,1,0,1
10.184.237.176,96.17.72.48,1,54,1,1,1,1,54,54,54,1,0,1
10.184.237.176,96.17.72.48,1,54,1,1,1,1,54,54,54,1,0,1
10.184.237.176,211.36.85.142,0,1188,0,18,6,1,66,66,66.0,18,0,18
10.184.237.176,96.17.72.48,1,54,1,1,1,1,54,54,54,1,0,1
10.184.237.176,96.17.72.48,1,54,1,1,1,1,54,54,54,1,0,1
10.184.237.176,10.128.128.126,1,108,2,1,1,1,54,54,54.0,2,0,2
10.128.128.126,10.184.237.176,1,7930,17,3,2,3,1514,54,440.55555555555554,18,8,10
10.184.237.176,108.177.97.188,0,847,14,0,2,2,66,55,60.5,14,7,7
10.184.237.176,96.17.72.48,1,54,1,1,1,1,54,54,54,1,0,1
10.184.237.176,96.17.72.48,1,54,1,1,1,1,54,54,54,1,0,1
108.177.125.157,10.184.237.176,1,60,1,1,1,1,60,60,60,1,0,1
10.184.237.176,108.177.125.157,1,2331,13,3,4,4,265,54,155.4,15,3,12
10.184.237.176,96.17.72.48,0,108,2,0,2,1,54,54,54.0,2,0,2
13.107.6.171,10.184.237.176,0,29707,106,4,3,4,1514,54,275.0648148148148,108,49,59
108.177.125.157,10.184.237.176,1,120,1,1,1,2,60,60,60.0,2,0,2
10.184.237.176,108.177.125.157,1,108,2,1,1,1,54,54,54.0,2,0,2
108.177.125.157,10.184.237.176,1,60,1,1,1,1,60,60,60,1,0,1
10.184.237.176,108.177.125.157,1,114,2,1,2,2,60,54,57.0,2,1,1
10.184.237.176,108.177.125.157,1,319,2,1,1,1,265,54,159.5,2,0,2
108.177.125.157,10.184.237.176,1,60,1,1,1,1,60,60,60,1,0,1
10.184.237.176,108.177.125.157,1,114,2,1,2,2,60,54,57.0,2,1,1
10.184.237.176,108.177.125.157,1,114,2,1,2,2,60,54,57.0,2,1,1
10.184.237.176,108.177.125.157,1,114,2,1,2,2,60,54,57.0,2,1,1
10.184.237.176,108.177.125.157,1,168,3,1,2,2,60,54,56.0,3,1,2
10.184.237.176,52.109.124.5,1,41798,55,3,2,2,1514,54,746.3928571428571,56,25,31
52.109.124.5,10.184.237.176,1,60,1,1,1,1,60,60,60,1,0,1
10.184.237.176,52.109.124.5,0,54,1,0,1,1,54,54,54,1,0,1
104.20.122.38,10.184.237.176,1,60,1,1,1,1,60,60,60,1,0,1
10.184.237.176,104.20.122.38,0,114,2,0,2,2,60,54,57.0,2,1,1
10.184.237.176,74.125.204.156,1,4906,24,7,4,4,265,54,181.7037037037037,27,3,24
52.114.74.43,10.184.237.176,0,27675,53,4,3,5,1514,54,503.1818181818182,55,31,24
10.184.237.176,52.109.120.3,1,43482,58,3,2,2,1514,54,736.9830508474577,59,26,33
52.109.120.3,10.184.237.176,1,60,1,1,1,1,60,60,60,1,0,1
10.184.237.176,52.109.120.3,0,54,1,0,1,1,54,54,54,1,0,1
10.184.237.176,216.58.221.110,1,5154,15,5,3,3,1484,54,303.1764705882353,17,9,8
10.184.237.176,151.101.1.69,0,211100,263,2,2,2,1514,54,799.621212121212,264,149,115
10.184.237.176,104.16.109.18,1,22848,58,5,3,3,1514,54,380.8,60,32,28
10.184.237.176,192.0.73.2,1,17115,65,9,5,5,1514,54,248.04347826086968,69,31,38
10.184.237.176,172.217.161.162,1,14822,34,5,3,3,1484,54,411.7222222222222,36,18,18
10.184.237.176,216.58.221.110,1,108,2,1,2,1,54,54,54.0,2,0,2
10.184.237.176,23.210.215.65,1,1160,4,3,2,2,718,54,232.0,5,2,3
10.184.237.176,23.210.215.65,1,108,2,1,1,1,54,54,54.0,2,0,2
10.184.237.176,23.210.215.65,1,54,1,1,1,1,54,54,54,1,0,1
10.184.237.176,23.210.215.65,1,1142,4,3,2,2,706,54,228.4,5,2,3
10.184.237.176,23.210.215.65,1,108,2,1,1,1,54,54,54.0,2,0,2
10.184.237.176,23.210.215.65,1,54,1,1,1,1,54,54,54,1,0,1
10.184.237.176,23.210.215.65,1,54,1,1,1,1,54,54,54,1,0,1
10.184.237.176,23.210.215.65,1,54,1,1,1,1,54,54,54,1,0,1
10.184.237.176,23.210.215.65,1,54,1,1,1,1,54,54,54,1,0,1
10.184.237.176,23.210.215.65,1,54,1,1,1,1,54,54,54,1,0,1
10.184.237.176,23.210.215.65,1,54,1,1,1,1,54,54,54,1,0,1
10.184.237.176,23.210.215.65,1,54,1,1,1,1,54,54,54,1,0,1
10.184.237.176,172.217.161.162,1,108,2,1,1,1,54,54,54.0,2,0,2
10.184.237.176,10.128.128.126,1,108,2,1,1,1,54,54,54.0,2,0,2
10.128.128.126,10.184.237.176,0,60,1,0,1,1,60,60,60,1,0,1
10.184.237.176,23.210.215.65,1,54,1,1,1,1,54,54,54,1,0,1
10.184.237.176,23.210.215.65,1,54,1,1,1,1,54,54,54,1,0,1
10.184.237.176,23.210.215.65,0,108,2,0,2,1,54,54,54.0,2,0,2
10.184.237.176,216.58.221.110,1,108,2,1,2,1,54,54,54.0,2,0,2
10.184.237.176,104.16.109.18,1,114,2,1,2,2,60,54,57.0,2,1,1
10.184.237.176,192.0.73.2,1,108,2,1,2,1,54,54,54.0,2,0,2
10.184.237.176,192.0.73.2,1,108,2,1,2,1,54,54,54.0,2,0,2
